"study","effect_id","nmda_antagonist","hedges_g","ci_lb","ci_ub"
"Sams-Dodd 1998 b",155,"Phencyclidine",-1.741,-2.826,-0.656
"Sams-Dodd 1998 b",156,"Phencyclidine",-4.218,-5.877,-2.559
"Sams-Dodd 1998 b",157,"Phencyclidine",-5.798,-7.905,-3.691
"Sams-Dodd 1998 b",158,"Phencyclidine",-6.272,-8.519,-4.024
"Sams-Dodd 1998 c",163,"Phencyclidine",-2.432,-3.488,-1.377
"Sams-Dodd 1998 c",165,"Phencyclidine",-6.344,-8.309,-4.379
"Sams-Dodd 1998 c",167,"Phencyclidine",-6.235,-8.172,-4.298
"Sams-Dodd 1998 c",169,"Phencyclidine",-2.804,-3.93,-1.677
"Savolainen 2018",173,"Phencyclidine",-0.796,-1.884,0.293
"Savolainen 2018",174,"Phencyclidine",-0.702,-1.781,0.378
"Savolainen 2018",175,"Phencyclidine",-1.683,-2.322,-1.044
"Savolainen 2018",176,"Phencyclidine",-1.525,-2.574,-0.475
"Savolainen 2018",177,"Phencyclidine",-1.037,-2.021,-0.053
"Savolainen 2018",178,"Phencyclidine",-1.538,-2.381,-0.694
"Savolainen 2018",179,"Phencyclidine",-1.379,-2.219,-0.539
"Seillier 2010",180,"Phencyclidine",-1.014,-2.055,0.027
"Seillier 2013",181,"Phencyclidine",-11.474,-15.569,-7.38
"Seillier 2013",182,"Phencyclidine",-1.503,-2.612,-0.393
"Seillier 2013",183,"Phencyclidine",-2.361,-3.638,-1.085
"Seillier 2013",184,"Phencyclidine",-3.124,-4.585,-1.664
"Seillier 2013",185,"Phencyclidine",-2.128,-3.355,-0.902
"Supp 2020",197,"Ketamine",-0.465,-1.612,0.681
"Takase 2022",198,"MK-801",-1.432,-2.127,-0.737
"Takase 2022",199,"MK-801",-1.305,-2.27,-0.34
"Tanaka 2019",201,"MK-801",-2.4,-3.372,-1.428
"Tarland 2018",206,"Phencyclidine",-2.986,-4.51,-1.463
"Unal 2020",209,"Ketamine",-2.058,-3.27,-0.846
"Unal 2020 b",211,"Ketamine",-7.843,-10.731,-4.954
"Zoupa 2019",214,"Ketamine",-4.245,-6.013,-2.478
"Bialon 2021",219,"MK-801",-3.487,-5.043,-1.931
"Bogale 2016",222,"Ketamine",-10.698,-15.126,-6.271
"Canever 2018",225,"Ketamine",0.353,-0.788,1.493
"Cascio 2014",226,"Phencyclidine",-3.506,-5.309,-1.704
"Cascio 2014",227,"Phencyclidine",-1.885,-3.245,-0.525
"Cascio 2014",228,"Phencyclidine",-2.258,-3.706,-0.81
"Daya 2014",229,"MK-801",-1.728,-2.755,-0.7
"Enomoto 2019",240,"Phencyclidine",-2.918,-3.914,-1.923
"George 2020",245,"Ketamine",-8.914,-11.812,-6.016
"Ghoshal 2016",247,"Phencyclidine",-1.08,-1.846,-0.314
"Gururajan 2010",250,"MK-801",-0.414,-1.114,0.286
"Gururajan 2010",253,"MK-801",-0.843,-1.59,-0.096
"Gururajan 2010",256,"MK-801",-0.861,-1.609,-0.113
"Gururajan 2010",260,"MK-801",-0.603,-1.29,0.085
"Gururajan 2010",251,"MK-801",-0.425,-1.125,0.276
"Gururajan 2010",254,"MK-801",-0.362,-1.084,0.359
"Gururajan 2010",257,"MK-801",-0.343,-1.064,0.378
"Gururajan 2010",261,"MK-801",-0.99,-1.703,-0.278
"Holuj 2015",266,"Ketamine",-3.364,-5.29,-1.438
"Holuj 2015",267,"Ketamine",-2.349,-3.961,-0.738
"Holuj 2015",268,"Ketamine",-3.655,-5.68,-1.629
"Holuj 2015",269,"Ketamine",-2.745,-4.472,-1.017
"Holuj 2015",270,"Ketamine",-3.643,-5.664,-1.621
"Holuj 2015",271,"Ketamine",-3.488,-5.457,-1.52
"Holuj 2015",272,"Ketamine",-4.37,-6.652,-2.089
"Holuj 2015",273,"Ketamine",-3.542,-5.529,-1.556
"Holuj 2015",274,"Ketamine",-2.63,-4.322,-0.937
"Huang 2014",275,"MK-801",-0.485,-1.633,0.663
"Koros 2007",288,"MK-801",-1.415,-2.681,-0.15
"Koros 2007",289,"MK-801",-2.545,-4.068,-1.023
"Koros 2007",290,"MK-801",-8.494,-12.075,-4.912
"Koros 2007",291,"MK-801",-9.042,-12.832,-5.251
"Koros 2007",280,"Phencyclidine",-2.89,-4.211,-1.569
"Koros 2007",281,"Phencyclidine",-6.755,-9.147,-4.363
"Koros 2007",296,"Ketamine",-1.466,-2.74,-0.191
"Koros 2007",282,"Phencyclidine",-6.348,-8.618,-4.078
"Koros 2007",297,"Ketamine",-3.154,-4.849,-1.459
"Koros 2007",283,"Phencyclidine",-8.953,-12.02,-5.886
"Koros 2007",298,"Ketamine",-2.36,-3.834,-0.886
"Koros 2007",299,"Ketamine",-1.901,-3.264,-0.538
"Kovanyi 2016",302,"Phencyclidine",-1.1,-2.04,-0.159
"Kovanyi 2016",303,"Phencyclidine",0.009,-0.867,0.886
"Kraeuter 2020",306,"MK-801",-1.48,-2.523,-0.437
"Kumbol 2018",309,"Ketamine",-2.053,-3.451,-0.655
"Lee 2022",310,"Phencyclidine",-1.612,-2.795,-0.429
"Lin 2016",311,"Ketamine",-1.785,-2.837,-0.733
"Noda 2020",313,"Phencyclidine",-3.336,-4.574,-2.099
"Noda 2020",314,"Phencyclidine",-3.153,-4.352,-1.955
"Noda 2020",315,"Phencyclidine",-3.271,-4.495,-2.048
"Paasonen 2017",316,"Phencyclidine",-1.276,-3.032,0.48
"Pouzet 2002",322,"Phencyclidine",-3.454,-5.24,-1.668
"Pouzet 2002 b",324,"Phencyclidine",-7.96,-11.339,-4.58
"Pouzet 2002 b",326,"Phencyclidine",-5.196,-7.563,-2.829
"Rajagopal 2018",329,"Phencyclidine",-4.096,-5.639,-2.554
"Rajagopal 2018",331,"Phencyclidine",-3.976,-5.488,-2.464
"Rajagopal 2018",333,"Phencyclidine",-4.019,-5.542,-2.496
"Rajagopal 2022",335,"Phencyclidine",-8.139,-10.809,-5.468
"Rajagopal 2022",337,"Phencyclidine",-6.617,-8.847,-4.387
"Riehl 2011",342,"Ketamine",-2.078,-4.51,0.354
"Riehl 2011",343,"Ketamine",-5.4,-9.624,-1.176
"Savage 2011",345,"Phencyclidine",-1.527,-2.55,-0.504
"Slawinska 2013",358,"MK-801",-4.299,-6.82,-1.777
"Slawinska 2013",360,"MK-801",-1.795,-3.436,-0.153
"Slawinska 2013",362,"MK-801",-1.557,-3.139,0.025
"Sokoloff 2013",363,"MK-801",-1.149,-2.644,0.347
"Unal 2020 c",368,"MK-801",-0.653,-1.658,0.353
"Wieronska 2013",370,"MK-801",-4.331,-6.866,-1.797
"Wieronska 2013",372,"MK-801",-2.914,-4.904,-0.924
"Wieronska 2013",374,"MK-801",-1.326,-2.857,0.205
"Zhu 2016",375,"MK-801",-1.735,-3.612,0.143
"Clifton 2013",391,"Phencyclidine",-0.196,-1.246,0.855
"Clifton 2013",392,"Phencyclidine",-0.032,-1.08,1.016
"Clifton 2013",393,"Phencyclidine",0.365,-0.691,1.421
"Clifton 2013",394,"Phencyclidine",0.557,-0.511,1.625
"Clifton 2013",389,"Phencyclidine",0.386,-0.547,1.318
"Clifton 2013",390,"Phencyclidine",-0.204,-1.007,0.598
"Clifton 2013",395,"Phencyclidine",0.21,-0.84,1.261
"Clifton 2013",397,"Phencyclidine",0.372,-0.512,1.256
"Clifton 2013",399,"Phencyclidine",0.528,-0.388,1.444
"Clifton 2013",396,"Phencyclidine",-0.598,-1.494,0.298
"Clifton 2013",398,"Phencyclidine",0.782,-0.152,1.716
"Clifton 2013",385,"MK-801",-0.387,-1.75,0.976
"Clifton 2013",386,"MK-801",-0.486,-1.592,0.62
"Clifton 2013",387,"MK-801",0.076,-1.015,1.167
"Clifton 2013",384,"MK-801",0,-0.924,0.924
"Clifton 2013",388,"MK-801",-0.735,-1.817,0.348
"Dravolina 1999",406,"MK-801",-0.297,-0.92,0.327
"Dravolina 1999",407,"MK-801",0.083,-0.545,0.711
"Egerton 2008",411,"Phencyclidine",-0.366,-0.991,0.259
"Egerton 2008",412,"Phencyclidine",0.089,-0.531,0.71
"Gomes 2015",413,"MK-801",-2.157,-3.475,-0.84
"Ingallinesi 2014",414,"Phencyclidine",0.089,-0.711,0.89
"Kaczorowska 2023",420,"MK-801",-1.981,-4.373,0.412
"Kaminska 2015",424,"MK-801",-7.454,-10.644,-4.264
"Kaminska 2015",427,"MK-801",-4.594,-6.752,-2.435
"Kyzar 2012",429,"Phencyclidine",-0.076,-0.642,0.49
"Maehara 2011",431,"MK-801",-1.766,-2.888,-0.643
"Maehara 2011",433,"MK-801",-3.077,-4.443,-1.712
"Majcher 2021",435,"MK-801",-1.302,-3.459,0.856
"Nakashima 2018",436,"Phencyclidine",-1.555,-2.468,-0.642
"Occhieppo 2022",437,"Ketamine",-1.327,-2.777,0.124
"Occhieppo 2022",438,"Ketamine",0.425,-1.022,1.871
"Occhieppo 2022",439,"Ketamine",-1.873,-3.663,-0.083
"Onaolapo 2017 b",441,"Ketamine",-11.631,-16.878,-6.385
"Onaolapo 2017 b",443,"Ketamine",-7.01,-10.323,-3.697
"Onaolapo 2017 b",442,"Ketamine",-21.123,-30.463,-11.783
"Onaolapo 2017 b",444,"Ketamine",-7.578,-11.123,-4.033
"Pedersen 2014",445,"Phencyclidine",-1.459,-2.733,-0.186
"Pedersen 2014",446,"Phencyclidine",-1.343,-2.596,-0.09
"Potasiewicz 2017",448,"Ketamine",-2.791,-4.381,-1.201
"Potasiewicz 2017",449,"Ketamine",-3.61,-5.445,-1.775
"Quiao 2000",450,"Phencyclidine",-1.512,-2.61,-0.415
"Quiao 2000",452,"Phencyclidine",-1.067,-2.108,-0.027
"Quiao 2000",451,"Phencyclidine",-2.234,-3.254,-1.214
"Quiao 2000",453,"Phencyclidine",-1.864,-2.822,-0.905
"Quiao 2000",454,"Phencyclidine",-1.332,-2.583,-0.081
"Quiao 2000",455,"Phencyclidine",-1.388,-2.648,-0.127
"Schiavone 2019",462,"Ketamine",-2.451,-4.643,-0.259
"Shahzad 2017",466,"MK-801",-1.849,-3.761,0.063
"Snigdha 2008",468,"Phencyclidine",-5.817,-8.652,-2.982
"Spano 2010",470,"Phencyclidine",-0.195,-0.762,0.372
"Spano 2010",471,"Phencyclidine",-1.261,-2.619,0.096
"Sukhotina 1998",472,"MK-801",0.187,-0.692,1.065
"Sukhotina 1998",473,"MK-801",0.522,-0.37,1.413
"Sukhotina 1998",474,"MK-801",0.228,-0.652,1.107
"Terranova 2005",478,"Phencyclidine",-0.588,-1.483,0.307
"Trevlopoulou 2015",481,"Ketamine",-4.302,-6.086,-2.518
"Unal 2017",484,"MK-801",-0.726,-2.157,0.704
"Unal 2018",487,"MK-801",-2.091,-3.633,-0.549
"Wieronska 2015",489,"MK-801",-1.561,-3.144,0.022
"Wieronska 2015",491,"MK-801",-1.209,-2.717,0.298
"Wieronska 2015",493,"MK-801",-1.763,-3.396,-0.13
"Wieronska 2015",495,"MK-801",-2.667,-4.572,-0.762
"Wieronska 2015 b",497,"MK-801",-4.685,-6.874,-2.495
"Wieronska 2015 b",499,"MK-801",-3.298,-5.036,-1.56
"Wieronska 2015 b",500,"MK-801",-2.737,-4.311,-1.162
"Wieronska 2015 b",503,"MK-801",-3.048,-4.712,-1.385
"Zamberletti 2014",508,"Phencyclidine",-3.132,-5.519,-0.744
"Zhou 2014",509,"MK-801",-7.841,-11.926,-3.757
"Zou 2008",519,"MK-801",0.013,-0.787,0.813
"Zugno 2013",527,"Ketamine",-0.123,-2.085,1.839
"Zugno 2013",528,"Ketamine",0.108,-1.853,2.07
"Zugno 2013",529,"Ketamine",0.687,-1.33,2.704
"Berek 2009",532,"Ketamine",-0.651,-1.657,0.355
"Canever 2010",536,"Ketamine",0.782,-0.128,1.691
"Canever 2010",537,"Ketamine",-1.953,-3.018,-0.887
"Canever 2010",538,"Ketamine",-5.656,-7.615,-3.696
"Chen 2022",543,"Phencyclidine",-1.802,-3.271,-0.332
"Chen 2022",544,"Phencyclidine",-1.834,-3.311,-0.357
"Chen 2022",545,"Phencyclidine",-1.97,-3.481,-0.46
"Chen 2022",546,"Phencyclidine",-1.164,-2.297,-0.031
"Cieslik 2018 b",551,"MK-801",-1.844,-3.499,-0.19
"Cieslik 2018 b",553,"MK-801",-2.363,-4.17,-0.557
"Cieslik 2018 b",555,"MK-801",-2.322,-4.116,-0.529
"Cieslik 2018 b",557,"MK-801",-1.319,-2.848,0.21
"Cieslik 2018 b",559,"MK-801",-1.554,-3.38,0.272
"Cieslik 2018 b",561,"MK-801",-1.521,-3.095,0.052
"Cieslik 2018 c",563,"MK-801",-1.132,-2.625,0.361
"Cieslik 2018 c",564,"MK-801",-1.517,-3.09,0.055
"Dunn 1989",567,"MK-801",4.114,2.116,6.111
"Dunn 1989",568,"MK-801",1.221,-0.012,2.453
"Fernandes 1999",572,"MK-801",-0.244,-1.142,0.653
"Gacsalyi 2013",574,"Phencyclidine",-0.754,-2.189,0.68
"Haller 2005",581,"Phencyclidine",-0.046,-1.286,1.194
"Haller 2005",582,"Phencyclidine",-1.226,-2.577,0.125
"Jenkins 2008",583,"Phencyclidine",1.346,0.323,2.369
"Kayir 2022",587,"MK-801",-0.171,-1.56,1.217
"Kim 2014",588,"MK-801",-4.696,-6.394,-2.997
"Koseki 2012",590,"Phencyclidine",-0.966,-1.83,-0.101
"Koseki 2012",591,"Phencyclidine",-0.974,-1.744,-0.204
"Lafioniatis 2016",592,"Ketamine",-1.961,-3.338,-0.584
"Maaswinkel 2013",601,"MK-801",-2.033,-2.797,-1.27
"Maaswinkel 2013",602,"MK-801",-2.299,-3.098,-1.5
"Maaswinkel 2013",603,"MK-801",-6.727,-8.346,-5.107
"Matsuoka 2008",610,"MK-801",-1.233,-1.85,-0.615
"Mouri 2020",615,"Phencyclidine",-1.141,-2.042,-0.24
"Mouri 2020",616,"Phencyclidine",-2.394,-3.443,-1.346
"Mouri 2020",617,"Phencyclidine",-1.544,-2.496,-0.592
"Neill 2016",619,"Phencyclidine",-1.006,-2.046,0.034
"Paul 2013",623,"Phencyclidine",-2.213,-3.229,-1.197
"Peters 2017",625,"Phencyclidine",-0.106,-1.121,0.909
"Sams-Dodd 1996",627,"Phencyclidine",-3.375,-4.62,-2.129
"Sams-Dodd 1996",630,"MK-801",-0.425,-1.234,0.384
"Sams-Dodd 1996",631,"MK-801",-2.382,-3.428,-1.336
"Sams-Dodd 1996",632,"MK-801",-3.105,-4.293,-1.917
"Sams-Dodd 1996",633,"MK-801",-6.078,-7.974,-4.181
"Sams-Dodd 1996",634,"MK-801",-5.819,-7.65,-3.989
"Sams-Dodd 1996",640,"Phencyclidine",-5.065,-6.706,-3.424
"Sams-Dodd 1996",644,"Phencyclidine",-5.589,-7.362,-3.817
"Sams-Dodd 1996",642,"Phencyclidine",-5.692,-7.49,-3.894
"Sams-Dodd 1996",646,"Phencyclidine",-5.137,-6.796,-3.478
"Sams-Dodd 1998 d",649,"Phencyclidine",-2.248,-3.27,-1.226
"Sams-Dodd 1998 d",651,"Phencyclidine",-3.583,-4.875,-2.292
"Sams-Dodd 1998 d",653,"Phencyclidine",-2.492,-4,-0.984
"Sams-Dodd 1998 d",655,"Phencyclidine",-4.318,-5.778,-2.858
"Sams-Dodd 1998 d",657,"Phencyclidine",-3.464,-4.729,-2.199
"Sams-Dodd 1998 d",659,"Phencyclidine",-2.202,-3.216,-1.188
"Sams-Dodd 1998 d",661,"Phencyclidine",-4.55,-6.065,-3.034
"Sams-Dodd 1998 d",663,"Phencyclidine",-6.597,-9.469,-3.725
"Seillier 2020",670,"Phencyclidine",-2.027,-3.553,-0.502
"Seillier 2020",671,"Phencyclidine",-1.233,-2.586,0.119
"Takeuchi 2019",673,"Phencyclidine",-1.85,-2.721,-0.98
"Takeuchi 2019",674,"Phencyclidine",-1.739,-2.594,-0.884
"Takeuchi 2019",675,"Phencyclidine",-1.323,-2.269,-0.378
"Takeuchi 2019",676,"Phencyclidine",-1.721,-2.573,-0.868
"Takeuchi 2019",677,"Phencyclidine",-1.27,-2.042,-0.498
"Takeuchi 2019",678,"Phencyclidine",-1.709,-2.444,-0.974
"Takeuchi 2019",679,"Phencyclidine",-1.08,-1.859,-0.3
"Takeuchi 2019",680,"Phencyclidine",-1.889,-3.108,-0.67
"Tekin 2022",681,"Ketamine",-2.1,-3.32,-0.879
"Unal 2018 b",688,"MK-801",0.348,-0.976,1.673
"Unal 2018 b",687,"MK-801",1.021,-0.376,2.418
"Vijeepallam 2016",689,"Ketamine",-3.166,-4.637,-1.695
"Zugno 2017",696,"Ketamine",0.458,-0.353,1.268
"Becker 2004",713,"Ketamine",-0.162,-1.144,0.819
"Becker 2004",716,"Ketamine",-0.319,-1.248,0.611
"Becker 2004",719,"Ketamine",0.485,-0.458,1.428
"Becker 2004",722,"Ketamine",-0.672,-1.627,0.283
"Becker 2004",725,"Ketamine",0.121,-0.81,1.051
"Becker 2004",728,"Ketamine",0.15,-0.804,1.104
"Becker 2004",701,"Ketamine",-0.567,-1.42,0.285
"Becker 2004",704,"Ketamine",-0.766,-1.723,0.191
"Becker 2004",707,"Ketamine",-0.173,-1.031,0.685
"Becker 2004",710,"Ketamine",-0.744,-1.7,0.211
"Borkar 2018",729,"MK-801",-0.58,-1.845,0.686
"Borkar 2018",732,"MK-801",-0.263,-1.508,0.982
"Borkar 2018",730,"MK-801",-0.848,-2.142,0.446
"Borkar 2018",733,"MK-801",-0.575,-1.84,0.69
"Borkar 2018",731,"MK-801",-0.971,-2.282,0.34
"Borkar 2018",734,"MK-801",-0.928,-2.232,0.377
"Borkar 2018",735,"MK-801",-1.381,-2.761,-0.002
"Borkar 2018",736,"MK-801",-0.546,-1.808,0.717
"Borkar 2018",737,"MK-801",-0.673,-1.947,0.601
"Borkar 2018",738,"MK-801",-0.921,-2.225,0.382
"Corbett 1993",739,"MK-801",1.586,0.288,2.883
"Corbett 1993",740,"MK-801",3.01,1.358,4.663
"Daya 2018",745,"Phencyclidine",-2.563,-3.584,-1.541
"Gao 2016",746,"MK-801",-0.44,-1.327,0.447
"Gao 2016",747,"MK-801",-0.448,-1.335,0.44
"Georgiadou 2013",748,"Ketamine",-2.815,-4.198,-1.433
"Harich 2007",752,"Phencyclidine",0.666,-0.283,1.616
"Harich 2007",753,"Phencyclidine",1.598,0.537,2.659
"Harich 2007",754,"Phencyclidine",0.823,-0.139,1.786
"Harich 2007",755,"Phencyclidine",1.091,0.101,2.082
"Heylmann 2017",759,"Ketamine",-0.365,-1.763,1.032
"Hidayat 2021",760,"Ketamine",-18.124,-30.835,-5.413
"Ibrahim 2022",763,"Ketamine",-8.861,-11.743,-5.978
"Lee 2005",764,"Phencyclidine",-4.273,-6.049,-2.498
"Linck 2012",767,"MK-801",-1.69,-2.832,-0.549
"Metaxas 2014",787,"Phencyclidine",-0.094,-1.226,1.038
"Mintz 2005",790,"Phencyclidine",-0.819,-1.731,0.094
"Mintz 2005",791,"Phencyclidine",0.566,-0.25,1.382
"Nakatani-Pawlak 2009",792,"Phencyclidine",-2.292,-3.554,-1.031
"Nakatani-Pawlak 2009",795,"Phencyclidine",-2.626,-3.964,-1.289
"Nakatani-Pawlak 2009",797,"Phencyclidine",-1.154,-2.213,-0.096
"Nakatani-Pawlak 2009",799,"Phencyclidine",-1.542,-2.658,-0.426
"Nakatani-Pawlak 2009",801,"Phencyclidine",-1.273,-2.347,-0.198
"Nikiforuk 2013",802,"Ketamine",-3.398,-5.335,-1.46
"Nikiforuk 2016 b",803,"Ketamine",-5.036,-7.567,-2.505
"Nikiforuk 2016 b",804,"Ketamine",-2.92,-4.702,-1.138
"Nikiforuk 2016 b",805,"Ketamine",-3.24,-5.124,-1.355
"Nikiforuk 2016 b",806,"Ketamine",-2.788,-4.529,-1.048
"Otuathaigh 2010",807,"MK-801",-0.086,-1.066,0.895
"Otuathaigh 2010",811,"MK-801",-2.201,-3.442,-0.959
"Otuathaigh 2010",812,"MK-801",-1.34,-2.424,-0.255
"Otuathaigh 2010",808,"Phencyclidine",-0.607,-1.61,0.395
"Otuathaigh 2010",809,"Phencyclidine",-0.589,-1.59,0.412
"Otuathaigh 2010",810,"Phencyclidine",-0.731,-1.744,0.281
"Popik 2017",813,"Ketamine",-0.588,-1.854,0.679
"Popik 2017",814,"Ketamine",-2.883,-4.653,-1.113
"Rung 2005",815,"MK-801",-0.71,-1.877,0.457
"Rung 2005",816,"MK-801",-0.981,-2.179,0.217
"Rung 2005",817,"MK-801",-1.66,-2.972,-0.348
"Rung 2005",818,"MK-801",-2.336,-3.804,-0.868
"Satow 2009",823,"MK-801",-3.053,-4.718,-1.388
"Satow 2009",825,"MK-801",-2.403,-3.342,-1.464
"Satow 2009",827,"MK-801",-3.059,-4.725,-1.392
"Snigdha 2007",830,"Phencyclidine",0.2,-1.043,1.443
"Snigdha 2007",831,"Phencyclidine",-3.722,-5.771,-1.673
"Tarland 2017",834,"Phencyclidine",-2.965,-4.483,-1.448
"Thomson 2018",836,"Phencyclidine",-2.175,-4.194,-0.156
"Wang 2021",841,"Phencyclidine",-0.952,-1.796,-0.108
"Zimnisky 2013",845,"Phencyclidine",-2.746,-4.206,-1.286
"Baker 2008",846,"Phencyclidine",-1.326,-2.799,0.146
"Slot 2005",856,"Phencyclidine",-2.423,-4.056,-0.791
"Slot 2005",857,"Phencyclidine",-2.181,-3.746,-0.615
"Slot 2005",858,"Phencyclidine",-2.503,-4.158,-0.848
"Slot 2005",859,"Phencyclidine",-3.501,-5.473,-1.528
"Slot 2005",860,"Phencyclidine",-4.273,-6.519,-2.027
"Slot 2005",861,"Phencyclidine",-3.581,-5.581,-1.581
"Slot 2005",862,"Phencyclidine",-2.388,-4.011,-0.766
"Slot 2005",863,"Phencyclidine",-3.924,-6.045,-1.804
"Slot 2005",864,"Phencyclidine",-1.998,-3.516,-0.481
"Slot 2005",865,"Phencyclidine",-7.593,-10.594,-4.592
"Slot 2005",866,"Phencyclidine",-3.791,-5.544,-2.039
"Chaki 2015",867,"Phencyclidine",-1.126,-2.46,0.208
"Chaki 2015",868,"Phencyclidine",-1.518,-2.925,-0.111
"Cieslik 2019",873,"MK-801",-2.28,-3.539,-1.021
"Cieslik 2019",874,"MK-801",-2.304,-3.567,-1.04
"Cieslik 2019",875,"MK-801",-2.848,-4.239,-1.458
"Cieslik 2019",869,"MK-801",-2.539,-3.856,-1.222
"Cieslik 2019",870,"MK-801",-1.515,-2.627,-0.404
"Cieslik 2019",871,"MK-801",-1.23,-2.298,-0.161
"Cieslik 2019",872,"MK-801",-0.855,-1.879,0.169
"Corbett 1995",876,"Phencyclidine",-0.786,-1.96,0.389
"Corbett 1995",877,"Phencyclidine",-1.873,-3.23,-0.516
"Corbett 1995",882,"Phencyclidine",-6.684,-9.588,-3.78
"Corbett 1995",884,"Phencyclidine",-6.64,-9.528,-3.753
"Corbett 1995",886,"Phencyclidine",-5.374,-7.803,-2.944
"Corbett 1995",888,"Phencyclidine",-3.834,-5.741,-1.928
"Corbett 1995",890,"Phencyclidine",-3.776,-5.664,-1.889
"Corbett 1995",892,"Phencyclidine",-4.788,-7.013,-2.563
"Corbett 1995",894,"Phencyclidine",-2.77,-4.354,-1.186
"Corbett 1995",878,"Phencyclidine",-2.442,-3.937,-0.947
"Silva 2020",896,"MK-801",-0.557,-1.372,0.259
"Silva 2020",897,"MK-801",-0.652,-1.473,0.169
"Silva 2020",898,"MK-801",-0.125,-0.926,0.676
"Silva 2020",901,"MK-801",-1.162,-2.502,0.178
"Silva 2020",899,"MK-801",-1.587,-2.647,-0.528
"Silva 2020",902,"MK-801",-1.418,-2.514,-0.321
"Silva 2020",903,"MK-801",-2.312,-3.773,-0.85
"Silva 2020",904,"MK-801",-1.637,-2.769,-0.505
"Silva 2020",905,"MK-801",-1.251,-2.606,0.105
"Silva 2020",900,"MK-801",-0.882,-1.849,0.086
"Linck 2008",906,"MK-801",-2.967,-4.763,-1.17
