"study","effect_id","nmda_antagonist","hedges_g","ci_lb","ci_ub"
"Kim 2014",215,"MK-801",2.513,1.341,3.686
"Neill 2016",221,"Phencyclidine",1.884,0.706,3.061
"Neill 2016",222,"Phencyclidine",1.501,0.392,2.611
"Neill 2016",224,"Phencyclidine",1.34,0.256,2.425
"Neill 2016",223,"Phencyclidine",1.19,0.127,2.254
"Sams-Dodd 1996",231,"Phencyclidine",0.473,-0.338,1.284
"Sams-Dodd 1996",232,"Phencyclidine",0.823,-0.011,1.656
"Sams-Dodd 1996",245,"Phencyclidine",0.743,-0.084,1.571
"Sams-Dodd 1996",246,"Phencyclidine",0.619,-0.2,1.439
"Sams-Dodd 1996",235,"Phencyclidine",-0.573,-1.39,0.243
"Sams-Dodd 1996",236,"Phencyclidine",-0.163,-0.964,0.639
"Sams-Dodd 1996",237,"Phencyclidine",-0.683,-1.506,0.141
"Sams-Dodd 1996",247,"Phencyclidine",-0.437,-1.247,0.372
"Sams-Dodd 1996",238,"Phencyclidine",0.191,-0.611,0.993
"Sams-Dodd 1996",248,"Phencyclidine",0.877,0.039,1.714
"Sams-Dodd 1996",249,"Phencyclidine",0.646,-0.174,1.467
"Sams-Dodd 1996",250,"Phencyclidine",0.845,0.01,1.68
"Sams-Dodd 1998 d",255,"Phencyclidine",0.305,-0.5,1.109
"Sams-Dodd 1998 d",256,"Phencyclidine",0.626,-0.193,1.446
"Sams-Dodd 1998 d",257,"Phencyclidine",0.225,-0.578,1.028
"Sams-Dodd 1998 d",258,"Phencyclidine",1.439,0.541,2.337
"Takeuchi 2019",265,"Phencyclidine",0.11,-0.747,0.967
"Takeuchi 2019",266,"Phencyclidine",-0.007,-0.797,0.783
"Takeuchi 2019",263,"Phencyclidine",0.189,-0.613,0.991
"Takeuchi 2019",264,"Phencyclidine",0.679,-0.143,1.502
"Tekin 2022",267,"Ketamine",-0.534,-1.531,0.463
"Vijeepallam 2016",269,"Ketamine",1.52,0.407,2.632
"Becker 2004",296,"Ketamine",-0.083,-0.964,0.799
"Becker 2004",293,"Ketamine",-0.283,-1.347,0.781
"Becker 2004",284,"Ketamine",-0.964,-2.035,0.108
"Becker 2004",290,"Ketamine",-0.614,-1.49,0.263
"Becker 2004",287,"Ketamine",-0.384,-1.273,0.505
"Becker 2004",275,"Ketamine",0.549,-0.324,1.421
"Becker 2004",281,"Ketamine",-0.396,-1.24,0.448
"Becker 2004",278,"Ketamine",-0.091,-1.08,0.897
"Gao 2016",297,"MK-801",0.216,-0.663,1.095
"Harich 2007",300,"Phencyclidine",-0.605,-1.55,0.339
"Harich 2007",301,"Phencyclidine",-0.826,-1.789,0.136
"Harich 2007",302,"Phencyclidine",-1.859,-2.964,-0.753
"Hidayat 2021",303,"Ketamine",6.931,1.743,12.118
"Mintz 2005",304,"Phencyclidine",-0.918,-1.759,-0.077
"Nakatani-Pawlak 2009",308,"Phencyclidine",2.108,0.886,3.33
"Nakatani-Pawlak 2009",309,"Phencyclidine",1.484,0.378,2.591
"Nakatani-Pawlak 2009",310,"Phencyclidine",1.328,0.246,2.411
"Nikiforuk 2013",311,"Ketamine",2.721,1.001,4.441
"Satow 2009",312,"MK-801",-0.303,-1.254,0.648
"Satow 2009",313,"MK-801",-1.545,-2.601,-0.489
"Satow 2009",314,"MK-801",-0.529,-1.369,0.311
"Satow 2009",315,"MK-801",-2.893,-4.452,-1.334
"Satow 2009",320,"MK-801",1.239,0.004,2.475
"Satow 2009",321,"MK-801",1.645,0.336,2.954
"Snigdha 2007",327,"Phencyclidine",0.041,-1.199,1.281
"Snigdha 2008",330,"Phencyclidine",-0.39,-1.641,0.862
"Snigdha 2007",328,"Phencyclidine",-0.466,-1.722,0.79
"Snigdha 2007",329,"Phencyclidine",-0.493,-1.751,0.766
"Snigdha 2008",331,"Phencyclidine",-0.121,-1.361,1.12
"Snigdha 2008",332,"Phencyclidine",2.189,0.622,3.757
"Tarland 2017",335,"Phencyclidine",0.585,-0.485,1.655
"Wang 2021",339,"Phencyclidine",1.055,0.201,1.909
"Zimnisky 2013",340,"Phencyclidine",2.525,1.121,3.929
"Zimnisky 2013",341,"Phencyclidine",2.098,0.793,3.402
"Zimnisky 2013",342,"Phencyclidine",2.02,0.732,3.307
"Slot 2005",343,"Phencyclidine",-1.106,-2.437,0.225
"Slot 2005",344,"Phencyclidine",0.679,-0.596,1.954
"Slot 2005",356,"Phencyclidine",0.922,-0.382,2.226
"Slot 2005",345,"Phencyclidine",-0.766,-2.05,0.518
"Slot 2005",347,"Phencyclidine",-1.057,-2.38,0.267
"Slot 2005",352,"Phencyclidine",0.205,-1.038,1.448
"Slot 2005",357,"Phencyclidine",3.406,1.466,5.347
"Slot 2005",361,"Phencyclidine",2.713,1.261,4.165
"Slot 2005",346,"Phencyclidine",-0.828,-2.12,0.464
"Slot 2005",348,"Phencyclidine",-0.315,-1.562,0.932
"Slot 2005",353,"Phencyclidine",0.897,-0.403,2.198
"Slot 2005",358,"Phencyclidine",2,0.482,3.518
"Slot 2005",362,"Phencyclidine",3.256,1.658,4.853
"Slot 2005",349,"Phencyclidine",-0.296,-1.543,0.95
"Slot 2005",354,"Phencyclidine",0.891,-0.409,2.191
"Slot 2005",359,"Phencyclidine",0.158,-1.083,1.4
"Slot 2005",350,"Phencyclidine",-0.291,-1.537,0.956
"Slot 2005",355,"Phencyclidine",-0.277,-1.522,0.969
"Slot 2005",360,"Phencyclidine",0.063,-1.177,1.303
"Slot 2005",351,"Phencyclidine",-3.044,-4.865,-1.223
"Chaki 2015",364,"Phencyclidine",1.166,-0.175,2.506
"Chaki 2015",363,"Phencyclidine",1.415,0.029,2.801
"Corbett 1995",373,"Phencyclidine",0.047,-1.085,1.179
"Corbett 1995",365,"Phencyclidine",1.762,0.429,3.096
"Corbett 1995",374,"Phencyclidine",1.065,-0.145,2.274
"Corbett 1995",366,"Phencyclidine",0.117,-1.016,1.249
"Corbett 1995",381,"Phencyclidine",2.155,0.732,3.577
"Corbett 1995",382,"Phencyclidine",2.229,0.788,3.67
"Corbett 1995",369,"Phencyclidine",0.455,-0.692,1.601
"Corbett 1995",370,"Phencyclidine",0.143,-0.99,1.276
"Corbett 1995",377,"Phencyclidine",3.83,1.925,5.735
"Corbett 1995",378,"Phencyclidine",2.557,1.032,4.082
"Silva 2020",385,"MK-801",1.853,0.682,3.025
"Linck 2008",386,"MK-801",2.094,0.551,3.636
"Linck 2008",387,"MK-801",2.742,1.015,4.468
"Gururajan 2012",394,"MK-801",1.622,0.193,3.051
"Gururajan 2012",395,"MK-801",0.868,-0.428,2.165
"Hereta 2019",400,"MK-801",-0.391,-1.533,0.751
"Hereta 2019",401,"MK-801",0.861,-0.322,2.044
"Hereta 2019",409,"MK-801",0.162,-0.971,1.296
"Hereta 2019",412,"MK-801",0.277,-0.86,1.414
"Hereta 2019",402,"MK-801",3.24,1.519,4.961
"Hereta 2019",403,"MK-801",5.47,3.006,7.933
"Morimoto 2002",440,"MK-801",0.325,-0.923,1.573
"Morimoto 2002",435,"MK-801",-0.633,-1.903,0.638
"Morimoto 2002",441,"MK-801",-0.087,-1.327,1.153
"Morimoto 2002",436,"MK-801",0.429,-0.825,1.682
"Morimoto 2002",442,"MK-801",-1.038,-2.359,0.282
"Morimoto 2002",437,"MK-801",1.445,0.053,2.837
"Morimoto 2002",443,"MK-801",-3.424,-5.371,-1.478
"Morimoto 2002",417,"MK-801",0.61,-0.658,1.878
"Morimoto 2002",438,"MK-801",0.871,-0.426,2.168
"Morimoto 2002",418,"MK-801",2.208,0.635,3.781
"Morimoto 2002",439,"MK-801",-0.56,-1.824,0.703
"Morimoto 2002",419,"MK-801",8.242,4.423,12.061
"Morimoto 2002",420,"MK-801",5.032,2.502,7.562
"Morimoto 2002",421,"MK-801",-5.493,-8.2,-2.785
"Morimoto 2002",427,"MK-801",0.067,-1.173,1.307
"Morimoto 2002",428,"MK-801",-0.426,-1.679,0.828
"Morimoto 2002",429,"MK-801",-1.266,-2.624,0.092
"Morimoto 2002",430,"MK-801",-5.86,-8.712,-3.008
"Nawwar 2022",452,"Ketamine",4.004,1.855,6.152
"Noda 2021",454,"Phencyclidine",-0.693,-1.517,0.131
"Noda 2021",455,"Phencyclidine",2.867,1.727,4.006
"Onaolapo 2017 c",457,"Ketamine",2.08,0.541,3.619
"Onaolapo 2017 c",456,"Ketamine",1.666,0.227,3.105
"Onaolapo 2017 c",459,"Ketamine",14.382,7.958,20.806
"Onaolapo 2017 c",458,"Ketamine",2.08,0.541,3.618
"Rung 2005 b",460,"MK-801",-0.487,-1.424,0.451
"Rung 2005 b",461,"MK-801",-0.944,-1.918,0.03
"Rung 2005 b",462,"MK-801",-5.878,-8.009,-3.747
"Rung 2005 b",466,"MK-801",1.087,-0.125,2.299
"Rung 2005 b",467,"MK-801",-0.248,-1.384,0.887
"Rung 2005 b",468,"MK-801",0.152,-0.981,1.285
"Wang 2007",474,"Phencyclidine",-0.302,-1.355,0.752
"Wang 2007",475,"Phencyclidine",0.389,-0.668,1.447
"Wang 2007",477,"Phencyclidine",0.353,-0.788,1.493
"Wang 2007",476,"Phencyclidine",1.127,-0.001,2.255
