"study","effect_id","nmda_antagonist","hedges_g","ci_lb","ci_ub"
"Barrera-Conde 2023",530,"Phencyclidine",-0.634,-1.533,0.264
"Chen 2021",540,"Ketamine",-0.724,-2.155,0.707
"Chen 2021",542,"Ketamine",-1.387,-3.17,0.395
"Choi 2022",550,"Ketamine",0.414,-0.472,1.299
"Deiana 2022",566,"Phencyclidine",-2.394,-3.877,-0.912
"Giongo 2023",578,"MK-801",-1.242,-2.135,-0.348
"Giongo 2023",575,"MK-801",1.15,0.226,2.074
"Jeon 2017",586,"MK-801",0.699,-0.311,1.708
"Koo 2019",589,"MK-801",-0.976,-1.954,0.001
"Dieu-Lugon 2021",594,"MK-801",-0.127,-0.79,0.537
"Dieu-Lugon 2021",596,"MK-801",-0.153,-0.826,0.52
"Dieu-Lugon 2021",595,"Ketamine",-0.781,-1.444,-0.118
"Dieu-Lugon 2021",597,"Ketamine",-0.124,-0.764,0.516
"Mohammadi 2019",612,"MK-801",-1.566,-2.686,-0.446
"Oshodi 2021",621,"Ketamine",-3.351,-4.975,-1.727
"Oshodi 2021",622,"Ketamine",-3.519,-5.192,-1.847
"Seillier 2017",664,"Phencyclidine",-0.9,-2.201,0.401
"Seillier 2017",665,"Phencyclidine",-0.519,-1.585,0.546
"Seillier 2017",666,"Phencyclidine",-1.214,-2.446,0.017
"Seillier 2017",669,"Phencyclidine",1.014,-0.686,2.714
"Shi 2022",672,"MK-801",-0.271,-1.256,0.713
"Tran 2018 b",682,"Phencyclidine",-2.357,-3.632,-1.081
"Xu 2019",692,"Ketamine",-0.987,-1.745,-0.229
"Zhang 2020",693,"MK-801",-2.168,-3.332,-1.004
"Araujo 2016",697,"Ketamine",-2.595,-3.926,-1.265
"Sanavi 2022",698,"Ketamine",-1.417,-2.45,-0.383
"Gil-Ad 2014",750,"Phencyclidine",-1.766,-3.227,-0.304
"Hasegawa 2019",756,"Ketamine",-0.075,-0.761,0.61
"Luessen 2022",769,"MK-801",-0.644,-1.314,0.026
"Ma 2023",771,"MK-801",-0.483,-1.477,0.511
"Mabunga 2019",776,"MK-801",-0.059,-0.775,0.657
"Mabunga 2019",777,"MK-801",-0.583,-1.314,0.148
"Mabunga 2019",778,"MK-801",-0.834,-1.58,-0.088
"Mabunga 2019",779,"MK-801",-0.511,-1.238,0.216
"Sobota 2015",832,"Ketamine",-1.161,-2.159,-0.162
"Tran 2016",837,"Phencyclidine",-2.609,-4.148,-1.069
"Tran 2016",838,"Phencyclidine",-2.101,-3.511,-0.692
"Tran 2016",839,"Phencyclidine",-3.519,-5.326,-1.713
"Tran 2016 b",840,"Phencyclidine",-1.218,-2.45,0.014
"Zimmermann 2016",842,"MK-801",-0.902,-1.629,-0.175
"Zimmermann 2016",843,"MK-801",-1.009,-1.859,-0.16
"Zimmermann 2016",844,"MK-801",-1.061,-1.852,-0.27
"Benvenutti 2021",850,"MK-801",-0.084,-0.884,0.717
"Benvenutti 2021",851,"MK-801",-1.851,-2.829,-0.874
"Benvenutti 2021",852,"MK-801",-1.473,-2.395,-0.551
"Gururajan 2012",921,"MK-801",-0.145,-1.386,1.096
"Gururajan 2012",922,"MK-801",-1.273,-2.632,0.087
"Gururajan 2012",926,"MK-801",-1.248,-2.603,0.107
"Gururajan 2012",930,"MK-801",-1.27,-2.628,0.089
"Hanks 2013",959,"Phencyclidine",-0.457,-1.159,0.245
"Hanks 2013",941,"MK-801",0.745,-0.25,1.741
"Hanks 2013",945,"MK-801",-0.42,-1.046,0.207
"Hanks 2013",946,"MK-801",-0.254,-0.893,0.386
"Hanks 2013",947,"MK-801",0.248,-0.375,0.87
"Hanks 2013",943,"MK-801",0.462,-0.427,1.35
"Hanks 2013",951,"MK-801",-0.069,-0.946,0.808
"Hanks 2013",931,"Ketamine",0.196,-0.425,0.817
"Hanks 2013",953,"Phencyclidine",-0.174,-1.052,0.704
"Hanks 2013",954,"Phencyclidine",-0.566,-1.46,0.328
"Hanks 2013",932,"Ketamine",0.322,-0.302,0.946
"Hanks 2013",955,"Phencyclidine",0.192,-0.711,1.094
"Hanks 2013",933,"Ketamine",-0.427,-1.117,0.264
"Hanks 2013",934,"Ketamine",0.183,-0.502,0.867
"Hanks 2013",935,"Ketamine",-0.397,-1.102,0.308
"Harda 2022",962,"Ketamine",0.715,-0.295,1.726
"Ishola 2021",987,"Ketamine",-3.719,-5.588,-1.85
"Ishola 2021",988,"Ketamine",-3.131,-4.819,-1.443
"Jeevakumar 2015",989,"Ketamine",-1.276,-2.154,-0.398
"Jeong 2022",990,"MK-801",-0.816,-1.778,0.146
"Kim 2013",991,"MK-801",0.191,-0.791,1.173
"Kordas 2020",997,"Phencyclidine",-0.556,-1.341,0.23
"Kordas 2020",993,"Phencyclidine",0.383,-0.573,1.338
"Kordas 2020",998,"Phencyclidine",-0.702,-1.496,0.092
"Kordas 2020",994,"Phencyclidine",-0.302,-1.163,0.559
"Kordas 2020",999,"Phencyclidine",-0.262,-1.037,0.512
"Liao 2018",1005,"Ketamine",0.343,-0.54,1.226
"Monte 2013",1010,"Ketamine",-1.579,-2.701,-0.456
"Monte 2013",1011,"Ketamine",-2.913,-4.319,-1.506
"Tran 2017",1114,"Phencyclidine",-2.169,-3.274,-1.065
"Vasconcelos 2015",1115,"Ketamine",-2.786,-4.525,-1.046
"Xue 2017",1131,"MK-801",-0.308,-1.294,0.678
"Zhao 2018",1137,"MK-801",-4.122,-5.6,-2.645
